id_acc,age,date_heure,ville,latitude,longitude,descr_athmo_id,descr_lum_id,descr_etat_surf_id,descr_dispo_secu_id
1,40,"2009-01-14 08:45:00",PANNECE,47.4833,-1.23333,5,2,7,1
2,50,"2009-01-06 11:30:00","ST GENIX LES VILLAGES",45.6,5.63333,4,1,5,1
3,49,"2009-01-06 17:00:00","ST GENIX LES VILLAGES",45.6,5.63333,4,1,5,1
4,52,"2009-01-31 20:00:00","ST LAURENT DE LA SALANQUE",42.7667,2.98333,3,3,2,1
5,58,"2009-02-18 17:45:00",SOUVIGNE,45.9667,0.066667,1,1,1,1
6,40,"2009-01-21 09:15:00",LOPEREC,48.2833,-4.05,1,1,7,1
7,31,"2009-01-22 13:00:00","ST PABU",48.5659,3.39723,1,1,1,1
8,60,"2009-01-02 14:15:00","ST GOAZEC",48.1667,-3.78333,9,1,7,1
9,42,"2009-01-06 18:15:00",RENUNG,43.75,-0.35,4,3,5,1
10,38,"2009-01-23 22:00:00",MOMUY,43.6167,-0.633333,9,3,7,1
